Fullname, Course, Score, Experience, StudyMode, StudyPattern
Caitlin Gray,Doctor of Optometry (O.D.),77,immunology,online,FT
Kara Curtis,Doctor of Physical Therapy (D.P.T.),56,immunology,online,
Tina Wheeler,Doctor of Dental Surgery (D.D.S.),81,surgery,,FT
Timothy Vaughn,Bachelor of Science in Nursing (B.S.N.),81,surgery,on-campus,
Anthony Young,Master of Health Administration (M.H.A.),83,nursing,online,
Melanie Medina,Doctor of Nursing Practice (D.N.P.),54,nursing,on-campus,
Amy Thomas,Master of Health Administration (M.H.A.),77,immunology,online,PT
Lindsay Walker,Doctor of Nursing Practice (D.N.P.),90,physiotherapy,on-campus,PT
Andrew Smith,Doctor of Medicine (M.D.),58,dentistry,online,PT
Heather Silva,Doctor of Osteopathic Medicine (D.O.),65,physiotherapy,,
Alicia Guerrero MD,Bachelor of Science in Biomedical Science (B.S.),56,physiotherapy,,PT
Riley Pace,Doctor of Nursing Practice (D.N.P.),87,nutrition,online,FT
Joseph Francis,Bachelor of Science in Nursing (B.S.N.),91,nutrition,on-campus,FT
Brooke Johnson,Doctor of Medicine (M.D.),93,dentistry,online,
Jeffrey Harris,Bachelor of Science in Nursing (B.S.N.),76,immunology,on-campus,PT
Carly Garcia,Doctor of Optometry (O.D.),89,nutrition,,FT
Stephen Monroe,Master of Health Administration (M.H.A.),66,surgery,online,FT
Eric Johnson,Doctor of Medicine (M.D.),54,nursing,online,FT
Shawn Sloan,Master of Health Administration (M.H.A.),87,immunology,,PT
Michael Barrett,Doctor of Pharmacy (Pharm.D.),73,immunology,online,
Steven Brennan,Bachelor of Science in Nursing (B.S.N.),70,nursing,on-campus,FT
Dustin Thomas,Doctor of Medicine (M.D.),60,surgery,on-campus,
Zachary Kerr,Bachelor of Science in Biomedical Science (B.S.),57,surgery,,
Rodney Dickerson,Master of Health Administration (M.H.A.),100,physiotherapy,on-campus,
Kimberly Johnson,Doctor of Physical Therapy (D.P.T.),98,,on-campus,PT
Donald Hester,Doctor of Osteopathic Medicine (D.O.),60,,,PT
Jason Huynh,Doctor of Veterinary Medicine (D.V.M.),72,nursing,online,
Randy Mason,Doctor of Podiatric Medicine (D.P.M.),58,immunology,,PT
Teresa Costa,Doctor of Podiatric Medicine (D.P.M.),61,dentistry,on-campus,FT
Samantha Lee,Doctor of Veterinary Medicine (D.V.M.),84,immunology,on-campus,FT
Christina Rodriguez,Doctor of Physical Therapy (D.P.T.),100,immunology,,PT
Michael Horton,Doctor of Optometry (O.D.),55,,,
Denise Grimes,Doctor of Optometry (O.D.),95,immunology,online,FT
David Paul,Doctor of Dental Medicine (D.M.D.),89,,,PT
Monica Wagner,Doctor of Medicine (M.D.),69,,on-campus,PT
Ashley Stewart,Bachelor of Science in Biomedical Science (B.S.),68,dentistry,on-campus,FT
Julian Hodge,Doctor of Osteopathic Medicine (D.O.),90,dentistry,on-campus,PT
Stephanie Villarreal,Doctor of Nursing Practice (D.N.P.),90,nursing,on-campus,
Terry Vaughn,Doctor of Optometry (O.D.),93,physiotherapy,,
John Smith,Bachelor of Science in Nursing (B.S.N.),60,immunology,,
Dominic Miranda,Doctor of Podiatric Medicine (D.P.M.),62,physiotherapy,online,
Gwendolyn Moyer,Doctor of Nursing Practice (D.N.P.),87,,on-campus,FT
John Wood,Doctor of Dental Medicine (D.M.D.),74,nursing,online,PT
Manuel Lee,Doctor of Chiropractic (D.C.),53,physiotherapy,online,PT
Alan Rogers,Doctor of Dental Medicine (D.M.D.),98,nursing,,
Abigail Hill,Master of Health Administration (M.H.A.),87,dentistry,online,FT
Michael Miller,Doctor of Optometry (O.D.),57,surgery,on-campus,
Brandon Brown,Doctor of Chiropractic (D.C.),100,nursing,,PT
Paul Spears,Bachelor of Science in Nursing (B.S.N.),75,nutrition,,
Desiree Wade DVM,Doctor of Dental Medicine (D.M.D.),61,surgery,on-campus,
Darren Kim,Master of Health Administration (M.H.A.),83,nursing,,FT
Kim Floyd,Doctor of Osteopathic Medicine (D.O.),59,nursing,on-campus,PT
Kimberly Pruitt,Master of Health Administration (M.H.A.),62,immunology,on-campus,
Alexis Chapman,Master of Public Health (M.P.H.),63,physiotherapy,on-campus,
Ronald Holt,Bachelor of Science in Biomedical Science (B.S.),68,dentistry,on-campus,FT
Sabrina Fitzpatrick,Doctor of Medicine (M.D.),54,dentistry,on-campus,PT
Joshua Owen,Bachelor of Science in Biomedical Science (B.S.),87,surgery,on-campus,FT
Veronica Brown,Doctor of Chiropractic (D.C.),74,,online,PT
Jason Smith,Doctor of Chiropractic (D.C.),60,,on-campus,
Jacob King,Master of Public Health (M.P.H.),82,physiotherapy,online,
Kristin Hicks,Doctor of Dental Surgery (D.D.S.),50,immunology,on-campus,PT
Jason Crawford,Doctor of Chiropractic (D.C.),76,physiotherapy,on-campus,PT
Erica Gray,Doctor of Pharmacy (Pharm.D.),93,immunology,on-campus,PT
Ronald Stephenson,Doctor of Veterinary Medicine (D.V.M.),63,immunology,on-campus,
David May,Doctor of Osteopathic Medicine (D.O.),51,physiotherapy,online,FT
Lindsay Hill,Doctor of Nursing Practice (D.N.P.),99,,online,PT
Steven Smith,Doctor of Medicine (M.D.),54,dentistry,,FT
Dr. Robert Gonzalez,Bachelor of Science in Nursing (B.S.N.),53,,online,FT
Michelle Cooper,Doctor of Physical Therapy (D.P.T.),75,,,
Robert Smith,Master of Public Health (M.P.H.),77,nursing,on-campus,FT
Christopher Roth,Master of Public Health (M.P.H.),51,nutrition,on-campus,PT
Robert Shepard,Doctor of Nursing Practice (D.N.P.),89,,on-campus,FT
Kenneth Wallace,Doctor of Podiatric Medicine (D.P.M.),69,immunology,on-campus,FT
Tony Buckley,Doctor of Osteopathic Medicine (D.O.),75,surgery,on-campus,PT
Matthew Taylor,Doctor of Podiatric Medicine (D.P.M.),88,immunology,,FT
Derrick Taylor,Doctor of Pharmacy (Pharm.D.),89,physiotherapy,on-campus,FT
Jacob Miles,Doctor of Dental Medicine (D.M.D.),97,nursing,on-campus,PT
Emily Gray,Doctor of Physical Therapy (D.P.T.),90,physiotherapy,on-campus,PT
Kevin Cole,Doctor of Podiatric Medicine (D.P.M.),68,immunology,on-campus,PT
Richard Jensen,Bachelor of Science in Biomedical Science (B.S.),53,dentistry,online,
Michael Mendez,Bachelor of Science in Biomedical Science (B.S.),100,,on-campus,FT
Christine Moss,Master of Public Health (M.P.H.),97,dentistry,on-campus,PT
Steven Bishop,Doctor of Nursing Practice (D.N.P.),69,surgery,online,
Dylan Martin,Doctor of Dental Surgery (D.D.S.),92,immunology,on-campus,
Stephanie Price,Doctor of Veterinary Medicine (D.V.M.),57,nursing,on-campus,
Christopher Brock,Doctor of Physical Therapy (D.P.T.),82,nursing,online,
Benjamin Villarreal,Master of Public Health (M.P.H.),89,immunology,online,
John Aguirre,Doctor of Dental Medicine (D.M.D.),56,surgery,,FT
Sarah Everett,Doctor of Nursing Practice (D.N.P.),83,nursing,on-campus,
Melvin Figueroa,Doctor of Pharmacy (Pharm.D.),93,physiotherapy,online,
Elizabeth Fox,Doctor of Physical Therapy (D.P.T.),91,physiotherapy,online,
Kaitlyn Miranda,Doctor of Pharmacy (Pharm.D.),61,nursing,,PT
Richard Gilmore,Doctor of Podiatric Medicine (D.P.M.),100,nutrition,on-campus,FT
Jonathan Gomez,Doctor of Medicine (M.D.),56,,,
Linda Lloyd,Doctor of Chiropractic (D.C.),86,dentistry,on-campus,FT
David Gould,Doctor of Nursing Practice (D.N.P.),84,surgery,,PT
Gabriela Forbes,Doctor of Nursing Practice (D.N.P.),59,physiotherapy,,
Donald Allen,Doctor of Podiatric Medicine (D.P.M.),73,,online,
Javier Mullen,Bachelor of Science in Nursing (B.S.N.),62,dentistry,on-campus,PT
Kelli Wolfe,Doctor of Dental Medicine (D.M.D.),68,nursing,on-campus,PT
Brian Robinson,Doctor of Pharmacy (Pharm.D.),80,physiotherapy,on-campus,PT
Tom James,Doctor of Medicine (M.D.),61,dentistry,online,
Michelle Bailey,Doctor of Podiatric Medicine (D.P.M.),56,surgery,on-campus,FT
Shawn Rhodes,Doctor of Chiropractic (D.C.),61,surgery,,PT
Matthew Escobar,Doctor of Chiropractic (D.C.),75,nursing,online,PT
Todd Williams,Doctor of Veterinary Medicine (D.V.M.),83,physiotherapy,on-campus,
Stephanie Decker,Doctor of Osteopathic Medicine (D.O.),90,nursing,on-campus,PT
Betty Martin,Master of Health Administration (M.H.A.),73,nursing,on-campus,PT
Robert Williams,Master of Health Administration (M.H.A.),94,dentistry,on-campus,PT
Megan Munoz,Doctor of Veterinary Medicine (D.V.M.),73,nutrition,online,PT
Andrea Richardson,Doctor of Physical Therapy (D.P.T.),81,dentistry,online,PT
Eric Turner,Doctor of Optometry (O.D.),60,surgery,,PT
Adam Davidson,Doctor of Nursing Practice (D.N.P.),69,dentistry,,FT
Andre Martin,Doctor of Optometry (O.D.),67,dentistry,online,FT
Joseph Page,Doctor of Optometry (O.D.),93,dentistry,online,
Angela Oliver,Master of Public Health (M.P.H.),50,,online,FT
Tiffany Pugh,Doctor of Pharmacy (Pharm.D.),91,nutrition,online,FT
Olivia Carter,Doctor of Osteopathic Medicine (D.O.),74,immunology,on-campus,
Paula Sanchez,Doctor of Chiropractic (D.C.),62,,on-campus,PT
Crystal Martin,Doctor of Veterinary Medicine (D.V.M.),99,surgery,on-campus,FT
Jeanette Soto,Doctor of Physical Therapy (D.P.T.),95,surgery,,
Rebecca Johnson,Doctor of Physical Therapy (D.P.T.),58,dentistry,on-campus,FT
Nichole Collins,Doctor of Pharmacy (Pharm.D.),64,nutrition,,FT
Michael Washington,Master of Public Health (M.P.H.),100,physiotherapy,on-campus,FT
Tracy Huang,Doctor of Pharmacy (Pharm.D.),66,nursing,online,FT
Thomas Lutz,Bachelor of Science in Biomedical Science (B.S.),74,immunology,online,PT
Brian Jackson,Doctor of Nursing Practice (D.N.P.),100,,,PT
Amber Dudley,Bachelor of Science in Nursing (B.S.N.),79,dentistry,on-campus,FT
Amanda Keller,Doctor of Dental Medicine (D.M.D.),75,immunology,,
Kendra King,Doctor of Dental Medicine (D.M.D.),96,nursing,online,PT
Gerald Hunter,Doctor of Podiatric Medicine (D.P.M.),88,nursing,,
Melody Chase,Doctor of Osteopathic Medicine (D.O.),51,nutrition,online,FT
Sean Cruz,Master of Health Administration (M.H.A.),92,dentistry,on-campus,FT
Paula Dean,Doctor of Osteopathic Medicine (D.O.),89,nursing,online,PT
Mark Craig,Doctor of Pharmacy (Pharm.D.),84,,,PT
Yolanda Long,Doctor of Chiropractic (D.C.),61,nursing,on-campus,FT
Nathan Kim,Doctor of Medicine (M.D.),58,dentistry,online,
Steve Giles,Doctor of Nursing Practice (D.N.P.),71,dentistry,on-campus,
Jerry Cook,Bachelor of Science in Nursing (B.S.N.),98,physiotherapy,on-campus,FT
Mark Gonzales,Doctor of Nursing Practice (D.N.P.),62,immunology,online,FT
Gerald Mcknight,Doctor of Podiatric Medicine (D.P.M.),96,nursing,,
Lisa Trevino,Doctor of Optometry (O.D.),92,surgery,,FT
Bryan Morton,Doctor of Optometry (O.D.),63,surgery,on-campus,FT
Justin Rosario,Doctor of Dental Medicine (D.M.D.),96,nursing,,PT
Amanda Holmes,Doctor of Physical Therapy (D.P.T.),64,surgery,on-campus,FT
Vicki Smith,Doctor of Optometry (O.D.),95,,online,
Darrell Solis,Doctor of Veterinary Medicine (D.V.M.),55,physiotherapy,on-campus,
Derek Thompson,Doctor of Dental Medicine (D.M.D.),57,physiotherapy,,
Wendy Hartman,Doctor of Physical Therapy (D.P.T.),85,surgery,,
Kenneth Ortiz,Doctor of Medicine (M.D.),94,surgery,online,
Harold Lee,Doctor of Podiatric Medicine (D.P.M.),85,,online,
Edward Higgins,Master of Public Health (M.P.H.),69,nursing,online,
Joseph Walsh,Doctor of Optometry (O.D.),77,nutrition,on-campus,
Bradley Marshall,Doctor of Medicine (M.D.),59,,,PT
Jessica Beasley,Doctor of Pharmacy (Pharm.D.),85,immunology,online,PT
Cindy Briggs,Doctor of Physical Therapy (D.P.T.),62,nursing,online,FT
Alisha Manning,Doctor of Dental Surgery (D.D.S.),97,dentistry,online,PT
Patricia Anderson,Master of Public Health (M.P.H.),99,,on-campus,PT
Colleen Perez,Doctor of Dental Surgery (D.D.S.),70,,on-campus,
Hannah Martin,Doctor of Dental Surgery (D.D.S.),60,nutrition,online,
Nicholas Mosley,Master of Public Health (M.P.H.),88,nursing,online,
Dustin Taylor,Doctor of Dental Medicine (D.M.D.),97,physiotherapy,online,PT
Timothy Williams,Bachelor of Science in Biomedical Science (B.S.),88,surgery,online,PT
Margaret Hall,Master of Public Health (M.P.H.),96,dentistry,on-campus,PT
Marvin Mahoney,Doctor of Dental Surgery (D.D.S.),50,nutrition,,FT
Russell Sanchez,Doctor of Medicine (M.D.),97,,online,
Anthony Reed,Doctor of Dental Medicine (D.M.D.),99,nutrition,,
Emily Ewing,Doctor of Dental Medicine (D.M.D.),94,nursing,on-campus,FT
Catherine Bailey,Bachelor of Science in Nursing (B.S.N.),70,nursing,on-campus,
Andrea Gonzalez,Doctor of Chiropractic (D.C.),90,,online,PT
Darren Scott,Doctor of Podiatric Medicine (D.P.M.),86,,,
Jasmine Bell,Doctor of Dental Medicine (D.M.D.),84,immunology,,
Stacey Gates,Doctor of Veterinary Medicine (D.V.M.),64,,online,FT
Melissa Cain,Doctor of Veterinary Medicine (D.V.M.),59,nursing,on-campus,FT
Daisy Mcdonald,Doctor of Osteopathic Medicine (D.O.),93,nutrition,,FT
Mary Peterson DDS,Bachelor of Science in Biomedical Science (B.S.),56,surgery,on-campus,
Ashley Anderson,Master of Public Health (M.P.H.),79,nutrition,on-campus,PT
Randy Lane,Doctor of Dental Surgery (D.D.S.),86,dentistry,on-campus,PT
Nicole Francis,Doctor of Dental Surgery (D.D.S.),65,nutrition,,FT
Nicholas Clark,Doctor of Veterinary Medicine (D.V.M.),90,dentistry,on-campus,FT
Gary Ramirez,Bachelor of Science in Nursing (B.S.N.),71,nutrition,on-campus,FT
Carla Burgess,Bachelor of Science in Nursing (B.S.N.),75,physiotherapy,on-campus,
Michael Bryant,Doctor of Medicine (M.D.),84,surgery,online,PT
Nicholas Mcconnell,Doctor of Chiropractic (D.C.),81,physiotherapy,on-campus,FT
Jennifer Sampson,Doctor of Dental Medicine (D.M.D.),71,nutrition,online,
Rebecca Ellis,Doctor of Physical Therapy (D.P.T.),96,nursing,online,FT
Juan Hernandez,Doctor of Nursing Practice (D.N.P.),82,dentistry,online,PT
Katelyn Jackson,Doctor of Dental Medicine (D.M.D.),78,dentistry,online,
Dana Wolf,Doctor of Chiropractic (D.C.),72,surgery,online,PT
Julie Davis,Doctor of Pharmacy (Pharm.D.),64,nursing,online,
Miss Megan Long,Doctor of Medicine (M.D.),65,physiotherapy,on-campus,
Ann Suarez,Doctor of Medicine (M.D.),93,nutrition,,
David Lawson,Doctor of Veterinary Medicine (D.V.M.),87,immunology,on-campus,FT
Richard Valencia,Doctor of Podiatric Medicine (D.P.M.),55,nutrition,online,FT
Benjamin Mitchell,Bachelor of Science in Nursing (B.S.N.),71,nutrition,on-campus,PT
Antonio Carr,Doctor of Podiatric Medicine (D.P.M.),80,nursing,,
Nicole Nichols,Doctor of Veterinary Medicine (D.V.M.),77,nursing,on-campus,PT
Pamela Gibson,Bachelor of Science in Biomedical Science (B.S.),100,dentistry,on-campus,
John Williams,Bachelor of Science in Biomedical Science (B.S.),56,physiotherapy,online,FT
Dana Bailey,Doctor of Chiropractic (D.C.),83,dentistry,online,FT
Claudia Frederick,Doctor of Osteopathic Medicine (D.O.),51,immunology,online,PT
Alexander Hays,Bachelor of Science in Nursing (B.S.N.),90,dentistry,,
Jennifer Jimenez,Master of Public Health (M.P.H.),80,nutrition,,FT
Tyrone Davidson,Doctor of Physical Therapy (D.P.T.),83,,online,PT
Cody Harris,Doctor of Veterinary Medicine (D.V.M.),97,dentistry,online,FT
Christopher Turner,Doctor of Podiatric Medicine (D.P.M.),82,immunology,online,
Charles Matthews,Doctor of Veterinary Medicine (D.V.M.),81,dentistry,,FT
Toni Rodriguez,Doctor of Medicine (M.D.),53,dentistry,,PT
Mark Cochran,Doctor of Podiatric Medicine (D.P.M.),85,physiotherapy,online,PT
Brandy King,Bachelor of Science in Nursing (B.S.N.),51,nursing,,FT
Martin Ross,Doctor of Medicine (M.D.),62,,online,PT
Joseph Thomas,Doctor of Medicine (M.D.),79,nutrition,,FT
Kevin Kemp,Master of Health Administration (M.H.A.),96,physiotherapy,,
Crystal Simmons,Doctor of Nursing Practice (D.N.P.),60,nursing,online,FT
Michael Rowe,Doctor of Osteopathic Medicine (D.O.),62,immunology,online,PT
Sarah Villanueva,Doctor of Chiropractic (D.C.),86,dentistry,,PT
Casey Harvey,Bachelor of Science in Biomedical Science (B.S.),86,surgery,online,PT
Jason Cole,Doctor of Medicine (M.D.),54,immunology,online,
Melvin Perez,Doctor of Podiatric Medicine (D.P.M.),61,nursing,on-campus,PT
Michaela Orr,Master of Health Administration (M.H.A.),56,nutrition,on-campus,FT
Rachel Oconnor,Doctor of Dental Surgery (D.D.S.),82,,online,PT
Jennifer Hamilton,Doctor of Physical Therapy (D.P.T.),87,immunology,,FT
Melissa Clark,Doctor of Pharmacy (Pharm.D.),81,physiotherapy,on-campus,PT
Krista Snyder,Doctor of Nursing Practice (D.N.P.),99,physiotherapy,on-campus,
Matthew Morrison,Doctor of Nursing Practice (D.N.P.),100,,,
Gina Wyatt,Doctor of Osteopathic Medicine (D.O.),77,physiotherapy,on-campus,FT
Marcus Romero,Doctor of Medicine (M.D.),95,physiotherapy,on-campus,PT
Christopher Gomez,Doctor of Dental Surgery (D.D.S.),99,,online,PT
Philip Alexander,Doctor of Nursing Practice (D.N.P.),99,physiotherapy,on-campus,
Kimberly Davenport,Doctor of Podiatric Medicine (D.P.M.),81,immunology,on-campus,FT
William Price,Doctor of Dental Surgery (D.D.S.),96,,online,PT
Tina Hickman,Master of Health Administration (M.H.A.),71,nutrition,on-campus,FT
Sheila Jacobs,Bachelor of Science in Biomedical Science (B.S.),67,nursing,,PT
Eric Oconnor,Master of Health Administration (M.H.A.),50,nutrition,online,PT
Heather Porter MD,Master of Public Health (M.P.H.),83,nutrition,,PT
Katherine Torres,Doctor of Veterinary Medicine (D.V.M.),88,,,PT
Theresa Travis,Doctor of Podiatric Medicine (D.P.M.),81,dentistry,online,PT
Leslie Mckinney,Doctor of Optometry (O.D.),89,physiotherapy,online,PT
Richard Brown,Doctor of Pharmacy (Pharm.D.),67,physiotherapy,online,PT
Brenda Austin,Doctor of Dental Medicine (D.M.D.),90,physiotherapy,online,FT
Jeanne Scott,Doctor of Chiropractic (D.C.),84,dentistry,online,
Troy Gibson,Master of Health Administration (M.H.A.),59,,online,
Amanda James,Doctor of Podiatric Medicine (D.P.M.),63,nursing,,
Steven Jones,Doctor of Physical Therapy (D.P.T.),76,dentistry,,FT
Anthony Gardner,Doctor of Nursing Practice (D.N.P.),90,nursing,online,FT
Catherine Salinas,Doctor of Dental Medicine (D.M.D.),82,dentistry,on-campus,PT
Gabriela Duran,Bachelor of Science in Biomedical Science (B.S.),50,physiotherapy,on-campus,
Kevin Vang,Doctor of Dental Medicine (D.M.D.),54,physiotherapy,on-campus,
Kristen Good,Bachelor of Science in Biomedical Science (B.S.),89,physiotherapy,on-campus,
Katherine Curry,Master of Health Administration (M.H.A.),51,nutrition,on-campus,FT
Lisa Stark,Doctor of Pharmacy (Pharm.D.),74,immunology,on-campus,PT
Christopher Marshall,Doctor of Optometry (O.D.),88,nursing,on-campus,FT
Keith Mendez,Doctor of Veterinary Medicine (D.V.M.),87,nutrition,,
Ruth Thompson,Master of Health Administration (M.H.A.),80,physiotherapy,online,PT
Lauren Jackson,Doctor of Medicine (M.D.),99,immunology,on-campus,
Christine Mccormick,Bachelor of Science in Nursing (B.S.N.),59,immunology,,FT
David Roth,Doctor of Dental Medicine (D.M.D.),77,,on-campus,FT
Jason Lewis,Doctor of Physical Therapy (D.P.T.),56,surgery,online,FT
Michelle Anderson,Doctor of Optometry (O.D.),54,dentistry,on-campus,PT
Jessica Richmond,Doctor of Pharmacy (Pharm.D.),72,nutrition,on-campus,FT
Cynthia Anderson,Master of Public Health (M.P.H.),57,immunology,on-campus,PT
Noah White,Doctor of Dental Surgery (D.D.S.),84,nursing,online,
Adriana Jones,Doctor of Chiropractic (D.C.),50,surgery,on-campus,PT
William Brown,Doctor of Dental Medicine (D.M.D.),92,nursing,online,FT
John Gomez,Doctor of Dental Medicine (D.M.D.),65,nursing,online,PT
Todd Burton,Doctor of Osteopathic Medicine (D.O.),88,surgery,online,
Miranda Wilson,Doctor of Dental Surgery (D.D.S.),90,dentistry,,
Peter Rodgers,Doctor of Optometry (O.D.),80,nutrition,online,PT
Justin Bryant,Doctor of Optometry (O.D.),50,nursing,online,
James Bond,Doctor of Dental Medicine (D.M.D.),93,immunology,online,FT
Sarah Ali,Doctor of Pharmacy (Pharm.D.),52,nutrition,online,
Blake Cox,Master of Health Administration (M.H.A.),92,nutrition,on-campus,FT
Keith Snyder,Doctor of Nursing Practice (D.N.P.),61,nursing,online,FT
Christine Holland,Doctor of Nursing Practice (D.N.P.),85,nursing,on-campus,
Mary Nelson,Doctor of Podiatric Medicine (D.P.M.),78,nutrition,on-campus,FT
Jennifer Andrade,Bachelor of Science in Nursing (B.S.N.),71,dentistry,,PT
Scott Miller Jr.,Doctor of Dental Surgery (D.D.S.),74,nursing,online,PT
Lisa Rodriguez,Doctor of Nursing Practice (D.N.P.),70,immunology,on-campus,FT
Lisa Park,Doctor of Dental Medicine (D.M.D.),96,nutrition,on-campus,
Kelly Bowman,Doctor of Dental Medicine (D.M.D.),77,nursing,,PT
Gina Meyer,Doctor of Podiatric Medicine (D.P.M.),98,,on-campus,FT
Derek Hall,Doctor of Medicine (M.D.),54,surgery,on-campus,FT
Victoria Allison,Doctor of Nursing Practice (D.N.P.),97,physiotherapy,on-campus,FT
Shannon Patrick,Doctor of Podiatric Medicine (D.P.M.),64,physiotherapy,on-campus,PT
Tyler Vaughn,Doctor of Chiropractic (D.C.),91,nutrition,online,FT
Brian Holloway,Doctor of Veterinary Medicine (D.V.M.),86,surgery,,
Bryan Moore,Bachelor of Science in Biomedical Science (B.S.),75,dentistry,online,
Maria Blackwell,Doctor of Dental Surgery (D.D.S.),68,immunology,,FT
Ashley Barnes,Doctor of Pharmacy (Pharm.D.),97,surgery,online,PT
Tammy Cox,Doctor of Chiropractic (D.C.),84,surgery,on-campus,
Nicholas Savage,Doctor of Physical Therapy (D.P.T.),77,surgery,,FT
Michelle Buchanan,Doctor of Veterinary Medicine (D.V.M.),74,dentistry,online,
Shannon Schultz,Doctor of Medicine (M.D.),99,,,FT
Lee Orozco,Bachelor of Science in Nursing (B.S.N.),99,physiotherapy,online,PT
Eric Kennedy,Doctor of Dental Surgery (D.D.S.),73,surgery,online,
Jared Taylor,Bachelor of Science in Nursing (B.S.N.),74,,,PT
Stephen Fitzgerald,Doctor of Optometry (O.D.),79,nursing,online,FT
William Williams,Doctor of Dental Medicine (D.M.D.),75,surgery,on-campus,FT
Wendy Moreno,Master of Public Health (M.P.H.),80,surgery,,
Joseph Stone,Doctor of Veterinary Medicine (D.V.M.),66,nursing,on-campus,FT
Tracie Fletcher,Doctor of Physical Therapy (D.P.T.),95,,,
Jeremy Moyer,Doctor of Physical Therapy (D.P.T.),62,surgery,,PT
Wayne Clark,Doctor of Nursing Practice (D.N.P.),65,nursing,,PT
Jennifer Contreras,Doctor of Pharmacy (Pharm.D.),66,immunology,online,
David Bowman,Doctor of Osteopathic Medicine (D.O.),81,dentistry,online,PT
Jesse Hickman,Master of Public Health (M.P.H.),58,surgery,on-campus,PT
Keith Ford,Bachelor of Science in Nursing (B.S.N.),58,immunology,,
Anthony Robbins,Doctor of Dental Surgery (D.D.S.),88,,,PT
Matthew Thomas,Doctor of Osteopathic Medicine (D.O.),93,,,FT
Robert Mccarty,Doctor of Physical Therapy (D.P.T.),72,,on-campus,FT
Wanda Fowler,Master of Health Administration (M.H.A.),98,nursing,on-campus,
Tony Parks,Doctor of Osteopathic Medicine (D.O.),89,dentistry,on-campus,FT
Amy Price,Doctor of Pharmacy (Pharm.D.),56,nutrition,online,FT
Joshua Booth,Doctor of Pharmacy (Pharm.D.),52,physiotherapy,on-campus,FT
Debbie Castillo,Doctor of Chiropractic (D.C.),62,,on-campus,PT
Alejandro Anderson,Doctor of Podiatric Medicine (D.P.M.),50,physiotherapy,online,PT
Kurt Green,Doctor of Nursing Practice (D.N.P.),75,nutrition,online,
Roy Brown,Doctor of Veterinary Medicine (D.V.M.),91,physiotherapy,on-campus,FT
Caitlyn Smith,Bachelor of Science in Biomedical Science (B.S.),69,dentistry,online,PT
Casey White,Doctor of Veterinary Medicine (D.V.M.),63,physiotherapy,,PT
Margaret Lara,Bachelor of Science in Nursing (B.S.N.),50,nursing,on-campus,PT
Ian Peterson,Doctor of Chiropractic (D.C.),94,immunology,,
Stephen Perez,Doctor of Podiatric Medicine (D.P.M.),68,surgery,,
Jared Parrish,Doctor of Chiropractic (D.C.),61,,on-campus,
Vincent Reese,Doctor of Veterinary Medicine (D.V.M.),88,immunology,online,
Douglas Wilson,Doctor of Veterinary Medicine (D.V.M.),51,nutrition,on-campus,FT
Sarah Lane,Doctor of Chiropractic (D.C.),72,nursing,online,PT
John Murphy,Doctor of Chiropractic (D.C.),66,immunology,,PT
Taylor Nolan,Doctor of Optometry (O.D.),96,,on-campus,
Paige Pacheco PhD,Doctor of Dental Surgery (D.D.S.),65,nursing,online,FT
Michelle Hart MD,Bachelor of Science in Biomedical Science (B.S.),74,surgery,on-campus,PT
Kara Harmon,Doctor of Dental Medicine (D.M.D.),61,immunology,on-campus,FT
Peter Mcpherson,Doctor of Podiatric Medicine (D.P.M.),63,dentistry,,
Matthew Chan,Bachelor of Science in Biomedical Science (B.S.),92,surgery,,
Angela Thornton,Bachelor of Science in Nursing (B.S.N.),77,surgery,,PT
Jenna Carlson,Doctor of Physical Therapy (D.P.T.),92,surgery,on-campus,FT
Kevin David,Doctor of Podiatric Medicine (D.P.M.),59,dentistry,on-campus,PT
Connie Burton,Doctor of Osteopathic Medicine (D.O.),77,nutrition,,
Holly Knapp,Doctor of Optometry (O.D.),74,dentistry,,FT
Daniel Wong,Doctor of Podiatric Medicine (D.P.M.),69,surgery,,FT
Melissa Logan,Master of Health Administration (M.H.A.),51,dentistry,on-campus,PT
Melissa Stewart,Bachelor of Science in Biomedical Science (B.S.),50,immunology,,PT
David Pearson,Doctor of Medicine (M.D.),56,nursing,,PT
Casey Coffey,Doctor of Medicine (M.D.),80,nutrition,online,PT
Sergio Norton,Bachelor of Science in Nursing (B.S.N.),66,,on-campus,FT
Deborah Torres,Doctor of Chiropractic (D.C.),96,dentistry,online,
